Contract Period,Month,Year,Market,Units,Volume
"(1, 2020)",1,2020,All Markets,bbls per day,3362402.418832136
"(2, 2020)",2,2020,All Markets,bbls per day,3289486.9985906114
"(3, 2020)",3,2020,All Markets,bbls per day,497329.54999999946
"(4, 2020)",4,2020,All Markets,bbls per day,41349.36034482758
"(5, 2020)",5,2020,All Markets,bbls per day,3000.0
"(8, 2020)",8,2020,All Markets,bbls per day,14578.215203529317
"(11, 2019)",11,2019,All Markets,bbls per day,275135.594737931
"(12, 2019)",12,2019,All Markets,bbls per day,2719080.652600017
